mancc,pn,ncu,Format
VHK0010651,0101HUH00-600-G,CCTC,
VHK0010651,0101HUJ00-600-G,CCTC,
VHK0000022 ,0101HUH00-600-G,Avary,
VHK0000022 ,0101HUJ00-600-G,Avary,
VVG0010018,0101HUH00-600-G,Tripod,
VVG0010018,0101HUJ00-600-G,Tripod,
VTW0011372,010305V00-600-G,Compeq,
VTW0011372,010305W00-600-G,Compeq,
VKR0010113,010305V00-600-G,YPE,
VKR0010113,010305W00-600-G,YPE,
VTW0010789,E02-SPW0690-AP,Knowles,
VSG0010515,082-0000-077,Gore,
VTW0000019,QV51105-CN31M-7H,FIT (ABS),
VTW0000019,WNS104Y-AC004-7H,FIT (ABS),
VTW0011397,QV51105-CN31M-7H,DDK (Fujikura),
VJP0010019,075-0001-1307,I-PEX,
VCN0032549,WNS104Y-AC004-7H,Amphenol,
VCN0031162,075-0001-1294,Linkconn (LCN),
VDE0010010,E01-D2508B0P0-AP,Dialog,
VIE0010002,E01-MAX40100ANT-AP,Maxim,
VIE0010002,E01-MAX9027EWT-AP,Maxim,
VIE0010002,E01-MAX98740-AP,Maxim,
VIE0010009,E01-ATCPZ003UUDA-AP,Atmel,
VHK0010482,155S00321,Sony,
VIE0010018,E01-TMIS65B0B1-AP,TSMC,
VIE0010018,E01-TMIS65B0B2-AP,TSMC,
VTW0011360,E01-BU52072GWZ-AP,Rohm,
VTW0011111,E01-AS3441ZWLT-AP,AMS,
VTW0011111,E01-BQ25120AYFP-AP,TI,1-5-4-2
VTW0011111,E01-INA210CIDCK-AP,TI,1-5-4-2
VTW0011111,E01-LP5907UV-AP,TI,1-5-4-2
VTW0011111,E01-OPA330AIYFF-AP,TI,1-5-4-2
VTW0011111,E01-TPS63050YFF-AP,TI,1-5-4-2
VTW0011111,E01-TPS70933DRV-AP,TI,1-5-4-2
VTW0011111,E08-2SA2154CT-AP,Toshiba,
VTW0011111,E08-CSD68832L-AP,TI,1-5-4-2
VTW0011224,E01-CAS24S128C4A-AP,On-semi,
VTW0011224,E01-FPF2495CUCX-AP,On-semi,
VTW0011224,E01-NCP161AFCT300-OS,On-semi,
VTW0011224,E01-NCP161BFCT280-AP,On-semi,
VTW0011224,E01-STM32L476MGY6-AP,ST,
VTW0011224,E08-EFC4626R-AP,On-semi,
VTW0011224,E08-NTNS3190NZ-AP,On-semi,
VTW0011224,E12-1BV2K-02S,ST,
VTW0011224,E12-ESD5101-AP,On-semi,
VTW0011224,E12-ESD5111P-AP,On-semi,
VTW0011224,E12-ESDA51BF4-AP,ST,
VTW0011224,E12-SESD5111P-AP,On-semi,
VTW0011352,E01-AP25B2AAE-AP,ST,
VTW0011352,E01-VL62L0CBV2PA-AP,ST,
VTW0011352,E01-SIHLMHAX03-AP,AMS (Heptagon),
VTW0011025,E01-CBTL1610A3BUK-AP,NXP,
VTW0011025,E15-32V768K-AP,Epson,
VTW0011403,E01-82B0BAV-AP,Seiko,
VTW0011403,E01-82C0AAJ-AP,Seiko,
VTW0011439,E01-GD25LB128-AP,Giga,
VHK0010210,E01-AT25SL128A-AP,Dialog (Adesto),
VTW0010893,E01-BMA282-AP,Bosch,
VTW0011360,E12-RB522ES-AP,Rohm,
VTW0011360,E13-GDZT2R56-AP,Rohm,
VTW0011360,E13-GDZT2R5V1-AP,Rohm,
VHK0010299,E08-DMN2990UFZ-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN3730UFB4-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN62D0LFB-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN62D1LFB-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMP210DUFB4-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMP2541UCB9-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-MMBT3904LP-AP,DIODES INC.,1-5-4-2
VTW0011457,E15-32V768K-AP,TXC,1-5-4-2
VTW0011457,E15-TXC8J40-AP,TXC,1-5-4-2
VHK0010296,E84-EASV2010RWA0-AP,Everlight,1-5-4-2
VHK0010508,/,YAGEO CORPORATION,2-5-4-3
VHK0010508,103S00092,YAGEO CORPORATION,2-5-4-3
VHK0010508,117S00044,YAGEO CORPORATION,2-5-4-3
VHK0010508,117S0009,YAGEO CORPORATION,2-5-4-3
VHK0010508,117S0102,YAGEO CORPORATION,2-5-4-3
VHK0010508,117S0161,YAGEO CORPORATION,2-5-4-3
VHK0010508,117S0201,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00007,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00018,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00022,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00025,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00029,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00030,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00032,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00053,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00063,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00066,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00075,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00095,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0011,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0012,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0014,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S00142,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0196,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0201,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0273,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0306,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0354,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0366,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0396,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0400,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0433,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0460,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0608,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0627,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0676,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0679,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0705,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0706,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0709,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0724,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0729,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0737,YAGEO CORPORATION,2-5-4-3
VHK0010508,118S0742,YAGEO CORPORATION,2-5-4-3
